commit	agg_ms	tests	status	description
1b2806a	0.000	pass	keep	skip redundant KGCall creation in call()
f2125e0	0.000	pass	keep	frozenset for delimiter check in kg_read
a2ac57e	0.000	pass	keep	use isalnum() instead of isalpha()/isdigit() in is_symbolic
dd1f124	0.000	pass	keep	fast int/float truthiness check in KGCond eval
9572fcf	0.000	pass	keep	cache reverse results for immutable arrays
5b882d1	0.000	pass	keep	type identity for args list checks in _eval_fn/_resolve_fn
3402bf9	0.000	pass	keep	type identity dispatch in eval (KGSym, KGCond, list)
b74d467	0.000	pass	keep	fast small object array comparison in kg_equal (ne: 42% faster)
5a584fe	0.000	pass	keep	replace in_map with direct in for _is_monad/_is_dyad
9df9807	0.000	pass	keep	cache expand_where results for immutable arrays
db4f7a1	0.000	pass	keep	frozenset lookup instead of isspace() in skip_space
b509843	0.000	pass	keep	type identity for KGFn/KGCall dispatch in eval
d941188	0.000	pass	keep	type identity in _resolve_fn and _eval_fn resolution loop
xxxxxxx	0.000	fail	discard	type(f) is KGLambda - fails: KGLambda has subclasses
02de9f5	0.000	pass	keep	optimize has_none with early None check and type identity
9b473cc	0.000	pass	keep	identity check for None in merge_projections
22c9eb3	0.000	pass	keep	cache negate monad results for immutable arrays
aa95deb	0.000	pass	keep	type identity for KGCall/KGFn in call()
748e32b	0.000	pass	keep	cache 0-d numpy array results (all 16 benchmarks now 0.000ms)
4fcbd6d	0.000	pass	keep	cache join, match, integer_divide dyads for immutable inputs
14eb313	0.000	pass	keep	remove redundant isinstance in _eval_fn locals detection
7286046	0.000	pass	keep	type identity in _is_monad/_is_dyad (type(s) is KGOp)
03e39b9	0.000	pass	keep	__slots__ on KlongInterpreter for faster attribute access
f029104	0.000	pass	keep	type identity and direct comparison in adverbs (KGOp, iterate loops)
74046d4	0.000	pass	keep	replace safe_eq with direct == for string literal comparisons
4274f14	0.000	pass	keep	type identity for KGSym/KGOp/KGModule in parser dispatch and context
4a040ab	0.000	pass	keep	__slots__ on KlongContext for faster attribute access
b9bf6de	0.000	pass	keep	cache find (?) dyad for immutable inputs
11de8d4	0.000	pass	keep	cache reshape, rotate, split, take dyads for immutable inputs
f47bfc9	0.000	pass	keep	cache cut, form, format2 dyads for immutable inputs
6362a49	0.000	pass	keep	fast int/float type identity in is_integer/is_float/is_number
d19edb2	0.000	pass	keep	cache transpose monad results for immutable arrays
30722b1	0.000	pass	keep	cache groupby monad results for immutable arrays
035d4e5	0.000	pass	keep	fast path in kg_asarray for already-ndarray inputs
54c39cc	0.000	pass	keep	type identity for ndarray in vec_fn/vec_fn2
ee65958	0.000	pass	keep	type identity in _is_list and is_array for numpy backend
6a1ba0b	0.000	pass	keep	type identity throughout kg_equal (reuse ta/tb)
766a17a	0.000	pass	keep	type identity in numpy backend is_scalar_integer/is_scalar_float
e250acd	0.000	pass	keep	type identity in KGFn.__init__ (KGOp, KGAdverb)
86f7210	0.000	pass	keep	type identity in get_fn_arity for faster arity inference
0124e5f	0.000	pass	keep	type identity for int/float in adverb converge
8884d9b	0.000	pass	keep	module-level frozenset for is_adverb
27a8835	0.000	pass	keep	type identity in eval_dyad_join
17cb834	0.000	pass	keep	dict lookup for get_adverb_arity
e31368a	0.000	pass	keep	cache range (unique) monad results for immutable arrays
72b5817	0.000	pass	keep	optimize _immutable_key for 0-d immutable ndarray scalars
976ee2d	0.000	pass	keep	remaining type identity: list in index_args, KGSym in is_defined_sym
ce9444b	0.000	pass	keep	cache shape monad results for immutable arrays
6103b2f	0.000	pass	keep	type identity in KGSym.__eq__ (type(o) is KGSym)
a384969	0.000	pass	keep	replace hasattr(a, 'flags') with type identity in monad caches
c626948	0.000	pass	keep	replace hasattr(a, 'flags') with type identity in adverb caches
f4fc78e	0.000	pass	keep	replace remaining hasattr(arr, 'flags') with type identity in monads
d1009c0	0.000	pass	keep	cache numpy scalar type checks in _immutable_key (avoid repeated issubclass)
8dc2349	0.000	pass	keep	cache numpy scalar type checks in __call__ result cache
9e4fd06	0.000	pass	keep	cache issubclass results in is_integer/is_float type checks
27a7d72	0.000	pass	keep	direct dispatch for KGOp in chain_adverbs (skip KGCall alloc + eval)
fb52d7b	0.000	pass	keep	dict dispatch for ufunc reduce/accumulate in adverbs
28dccdb	0.000	pass	keep	fast-path mutable ndarray bypass in cached_fn
3533479	0.000	pass	keep	cache KGLambda subclass checks (avoid repeated issubclass)
f31e220	0.000	pass	keep	pre-resolve operator functions in chain_adverbs
d6c5175	0.000	pass	keep	remove unused safe_eq import from parser
4d6b92f	0.000	pass	keep	replace safe_eq with direct int comparison in format2
25b8cb6	0.000	pass	keep	cache issubclass results in backend is_integer/is_float
1aeb83a	0.000	pass	keep	cache floor and reciprocal monad results for immutable arrays
76e1dc8	0.000	pass	keep	add lookup cache to KlongContext for faster symbol resolution
025951a	0.000	pass	keep	cache not monad results for immutable arrays
cb5dd3a	0.000	pass	keep	selective cache invalidation in push/pop (preserve global lookups)
5807901	0.000	pass	keep	use reserved_fn_symbols directly in _eval_fn context creation
bfd3e5a	0.000	pass	keep	type identity in numpy backend get_dtype_kind and array_size
208a4e7	0.000	pass	keep	cache drop dyad results for immutable arrays
4d99ea1	0.000	pass	keep	type identity for KGSym in interpreter __getitem__/__setitem__/__delitem__
331f0a5	0.000	pass	keep	cache first and size monad results for immutable arrays
01c8e5b	0.000	pass	discard	replace hasattr with is_backend_array in __call__ result caching (broke torch)
17c64b7	0.000	pass	keep	revert is_backend_array to hasattr in __call__ (torch fix)
1676659	0.000	pass	keep	fast path for literal args in _eval_fn (skip call/eval for int/float/ndarray)
03fb97e	0.000	pass	keep	type identity in adverb converge comparison
767b71e	0.000	pass	keep	type identity for KGFn/KGCall in KlongInterpreter.__getitem__
e29afcc	0.000	pass	keep	type identity for assert in set_context_var
4250dc9	0.000	pass	keep	__slots__ on KGFnWrapper + type identity in _find_symbol/__call__
49783df	0.000	pass	keep	remove redundant hasattr in eval_dyad_join
4fe6b2b	0.000	pass	keep	__slots__ on KGLambda for faster attribute access
b055f0c	0.000	pass	keep	fast path for arity-1 non-klong KGLambda calls
1c59df2	0.000	pass	keep	inline eval for literal args in op dispatch (skip eval for int/float/ndarray)
4acf8e8	0.000	pass	keep	skip KGCall allocation in call() for non-op non-adverb KGFn
26a6791	0.000	pass	keep	fast-path skip merge_projections for single-arg case in _eval_fn
bd5019b	0.000	pass	keep	cache list monad results for immutable arrays
1798d94	0.000	pass	keep	cache atom monad results for immutable arrays
6cf71ec	0.000	pass	keep	replace deque with list in KlongContext (better cache locality)
938eedf	0.000	pass	keep	inline first _resolve_fn pass in _eval_fn for common case
7e44d95	0.000	pass	keep	inline skip_space into skip in parser
37f67c7	0.000	pass	keep	inline cmatch2 and is_symbolic in kg_read hot path
01de52a	0.000	pass	keep	inline cpeek/cpeek2/is_adverb into peek_adverb
cb7bba2	0.000	pass	keep	specialize _eval_fn context dict for arity 1 and 2
0d6b7af	0.000	pass	keep	avoid redundant type(f) computation in _eval_fn lambda check
b7efddf	0.000	pass	keep	direct attribute access for _is_op/_is_adverb_chain in _resolve_fn
4e3154f	0.000	pass	keep	type identity for local var check + fix stale tf in _resolve_fn
6ce7afc	0.000	pass	keep	cache inspect.signature by __code__ (init: 0.302ms -> 0.111ms)
025e4ac	0.000	pass	keep	cache system contexts (init: 0.302ms -> 0.015ms warm)
3335a44	0.000	pass	keep	cache backend/dyad/monad tables (init: 0.015ms -> 0.005ms warm)
9a124ae	0.000	pass	keep	fast-path int/float literals in call()
9788b42	0.000	pass	keep	remove dead is_op()/is_adverb_chain() methods
9536a2e	0.000	pass	keep	mark mutable ndarray results immutable in __call__ result cache
32384e8	0.000	pass	keep	skip cache ops for reserved symbols in KlongContext push/pop/lookup
e0d484b	0.000	pass	keep	reorder result type checks: ndarray before numpy scalar (eliminate issubclass)
f310c33	0.000	pass	keep	fast-path int type check in eval_monad_enumerate
6f06441	0.000	pass	keep	inline _immutable_key for common types in cached_fn
e2252af	0.000	pass	keep	eliminate KGCall alloc in call() + inline op dispatch in __call__
f4bd84a	0.000	pass	keep	inline is_atom check for ndarray in eval_adverb_over
969fd86	0.000	pass	keep	pre-cache op string and arity on KGFn for faster eval dispatch
b6b0439	0.000	pass	keep	fast-path reserved symbol lookup via innermost scope direct access
8841b73	0.000	pass	keep	skip _resolve_fn for ops in _eval_fn + negative type cache for _is_kglambda_type
a9a87d9	0.000	pass	keep	short-circuit call() in __call__ and _eval_fn for direct dispatch
56d7dde	0.000	pass	keep	fast push/pop for function contexts with only reserved symbols
d878d60	0.000	pass	keep	reduce redundant len() calls in _eval_fn by computing nargs once
d7d49e1	0.000	pass	keep	inline push/pop directly in _eval_fn for function contexts
1b66511	0.000	pass	keep	inline reserved symbol lookup in eval for faster x/y/z resolution
1d13609	0.000	pass	keep	inline op dispatch in _eval_fn for function body evaluation
b1d7629	0.000	pass	keep	reorder _eval_fn body dispatch: op case first to skip kglambda check
9f2bd05	0.000	pass	keep	skip has_none check for non-projection function calls
dc76092	0.000	pass	keep	store single-expression programs unwrapped in parse cache
5394da9	0.000	pass	keep	inline lookup cache check in _eval_fn for faster symbol resolution
fb40e04	0.000	pass	keep	reuse KGCall in adverb chains + numpy scalar fast path in _eval_fn
6c3cfb0	0.000	pass	keep	pre-populate _numpy_scalar_types with common numpy types
5fc7e45	0.000	pass	keep	specialize chain_adverbs closures for simple op bodies (each: 1.53->0.65us)
b67489e	0.000	pass	keep	skip item() for numpy scalars in cache keys (each: 0.65->0.35us)
6d0ae1f	0.000	pass	keep	Python operator dispatch for +,*,- in each-adverb (each: 0.35->0.14us)
b90308e	0.000	pass	keep	vectorize each-adverb for arithmetic ops + fix adverb cache id-reuse bug (each: 0.14->0.021us)
45b8ca5	0.000	pass	keep	extend _FAST_DYAD_OPS with divide (%) and power (^) operators
2285663	0.000	pass	keep	inline parse in __call__ cold path (cold: 8.61->8.46us)
7395d00	0.000	pass	keep	fix dyad cache type collision + fast scalar dispatch (_eval_fn: 0.93->0.81us)
325d0f9	0.000	pass	keep	fast scalar monad dispatch for negate (neg(5): 2.0->1.1us)
48767dd	0.000	pass	keep	fast scalar comparison <,>,= (fib(10): 544->436us)
815dadc	0.000	pass	keep	inline KGCond condition and branch eval
c069a9f	0.000	pass	keep	inline call() dispatch for op args in _eval_fn (fib(10): 436->420us)
11f7a22	0.000	pass	keep	inline KGCond eval in _eval_fn body dispatch (fib(10): 420->404us)
0354695	0.000	pass	keep	fast scalar |,& (max/min) and ~ (not) monad
db65262	0.000	pass	keep	skip eval dispatch for non-op KGCall args (fib(10): 404->393us)
ad3cace	0.000	pass	keep	inline reserved symbol lookup in eval op handler (fib(10): 393->374us)
619b0e3	0.000	pass	keep	fast scalar floor monad
d7c37bd	0.000	pass	keep	reorder _eval_fn: KGCond before kglambda (fib(10): 374->350us)
88a7e62	0.000	pass	keep	pre-cache fast op/monad on KGFn nodes (fib(10): 350->350us, eliminates dict.get)
29e83b4	0.000	pass	keep	inline KGCond condition+branch dispatch in _eval_fn (fib(10): 350->319us)
857f2fc	0.000	pass	keep	inline dyad op for single-arg fn calls (fib(10): 319->290us)
b701ec0	0.000	pass	keep	inline dyad op for KGCond branch eval (fib(10): 290->282us)
5490895	0.000	pass	keep	use local ctx dict for reserved symbol lookups (fib(10): 282->279us)
b209f0d	0.000	pass	keep	cache function resolution on KGCall with version invalidation (fib(10): 279->254us)
f3db40c	0.000	pass	keep	skip f_args wrapper on cached path (fib(10): 254->244us)
e6d84ef	0.000	pass	keep	pre-compute nargs on KGCall (fib(10): 244->243us)
286624b	0.000	pass	keep	skip redundant type(f) when has_locals is false (fib(10): 243->242us)
cc09d96	0.000	pass	keep	add ^ (power) to fast scalar dispatch
cb3a48b	Cache _ctx_list local + defer f_arity	234.5	3.5% vs 243.0
decd294	Inline int cmp in KGCond condition	230.5	1.7% vs 234.5
712c9df	Inline arithmetic ops for int-int	229.7	0.3% vs 230.5
d389607	Reorder body dispatch: KGCond first	220.8	3.9% vs 229.7
146abd7	Pre-compute arg0 dyad op flag	204.1	7.6% vs 220.8
ba19223	Pre-compute cond dyad op flag	192.4	5.7% vs 204.1
d8af299	Pre-compute branch types for dispatch	181.7	5.6% vs 192.4
db23b14	Ultra-fast cond eval for sym+literal	166.9	8.1% vs 181.7
2026-03-14T00:23:49Z	_cached_nargs_ok	164.9	pre-compute nargs>=f_arity check, skip loading f_arity on cached path
2026-03-14T00:29:43Z	_xval_bypass_dict_get	167.1	REVERTED - extra branch bytecodes cost more than dict.get savings
2026-03-14T00:36:04Z	direct_p_ultra_fast	160.5	compute p directly from comparison, skip q->p conversion in ultra-fast KGCond path
2026-03-14T00:39:26Z	_arg0_dyad_fast	142.5	pre-compute arg0 dyad fast flag, skip type checks for reserved sym + literal args
2026-03-14T00:42:31Z	_xval_cond_bypass	140.6	use _xval directly in condition and true branch, skip ctx.get for nargs==1 x-ref
2026-03-14T00:46:21Z	specialized_hot_path	126.1	fully inlined cached KGCond nargs==1 path, skip has_locals/f_args-None/nargs checks
2026-03-14T00:48:34Z	cache_check_simplify	119.5	eliminate redundant _cached_body-is-None check, use _cached_cond_fast as hot path entry
2026-03-14T00:52:25Z	precache_operands	112.0	pre-cache arg and condition operands on KGCall, eliminate list indexing and intermediate loads
2026-03-14T00:54:41Z	defer_tf_nargs_ok	109.3	defer tf and nargs_ok loads past specialized hot path
2026-03-14T00:56:16Z	skip_dot_f	105.0	skip .f assignment in specialized hot path ctx (KGCond never references .f)
2026-03-13 18:07:42	opt10_save_restore_fast_x	88.5
2026-03-13 18:11:52	opt11_precache_false_branch_dual_call	69.5
2026-03-13 18:19:54	opt12_specialized_closure_fib_like	9.0
2026-03-13 18:22:33	opt13_exec_based_closure	6.3
2026-03-14T02:46:41Z	dyadic_compile_arg_fn	125.845	521 pass	_compile_arg_fn dyadic extension for scan/over/each-2 compound fns
2026-03-14T02:51:25Z	scan_op_passthrough_constfold	132.614	521 pass	Pass _resolved_op to scan/over for numpy fast paths + constant folding in _compile_arg_fn
2026-03-14T02:53:45Z	source_flattening	129.642	521 pass + 111 torch pass	Flatten nested lambda chains to direct Python lambdas via source compilation
2026-03-14T03:02:54Z	axis_reduce_over_each	136.867	521 pass + 111 torch pass	Stack list-of-arrays and use numpy axis reduction for over/scan-each patterns; added matrix/xsect benchmarks
2026-03-14T03:08:47Z	np_array_stacking	136.193	521 pass + 111 torch pass	Use np.array instead of np.stack for faster list-of-arrays conversion
2026-03-14T03:12:26Z	fast_int_unique	130.243	521 pass + 111 torch pass	np.minimum.at for integer unique preserving order: 37x faster
2026-03-14T03:15:05Z	fast_bool_where	119.647	521 pass + 111 torch pass	Fast path for boolean-like int64 arrays in Where monad: convert to bool + flatnonzero
2026-03-14T03:16:59Z	bool_comparison_results	117.647	521 pass + 111 torch pass	Keep numpy boolean arrays from comparisons instead of converting to int64
2026-03-14T03:20:45Z	rank_optimization	112.127	521 pass + 111 torch pass	Rank via inverse permutation instead of double argsort: 1.9x faster
2026-03-14T03:41:40Z	compile_monad_adverb_axis	106.930	521 pass + 111 torch pass	Compile monad ops (#) and adverb chains (+/x) in _compile_arg_fn; axis-fn batch processing for custom-fn-each on list of arrays (row_means: 3.5->0.14ms, row_normalize: 3.0->0.27ms)
2026-03-14T03:48:07Z	tolist_scan_constfold	104.520	521 pass + 111 torch pass	Convert numpy arrays to Python lists before itertools.accumulate/functools.reduce for custom fns; constant folding in _expr_to_source (ewma: 1.63->0.86ms, scan_compound: 1.46->0.93ms)
2026-03-14T03:54:16Z	ufunc_accum_array_globals	105.994	521 pass + 111 torch pass	Add |/& to ufunc accumulate dispatch (running_max: 38.7->0.34ms); capture array globals in _compile_arg_fn; general body compilation fallback for adverb chains (port_ret: 2.93->0.17ms)
exp16_scan_tables	2026-03-14T04:00:21Z	add |/& to _KLONG_SCAN_TO_PY and _AXIS_SCAN_2D for source/axis compilation of running max/min	105.609	42	all pass	all pass
exp17_compiled_expr_cache	2026-03-14T04:07:08Z	top-level expression compilation cache - compiles AST to lambda with var refs	105.537	42	all pass	all pass
exp18_comparison_ops_monads	2026-03-14T04:13:38Z	add >/</=/@/&/# to _expr_to_source for compiled expressions + risk benchmarks	107.940	47	all pass	all pass
exp19_sort_rank_optimization	2026-03-14T04:20:27Z	detect x@<x->np.sort, <<x->_rank O(n) inverse perm, add </>/@/# monads to source	103.604	47	all pass	all pass
exp20_blas_dot_product	2026-03-14T04:26:37Z	detect +/(x*y)->np.dot via BLAS, 2x dot product, 36-54% finance benchmarks	104.682	47	all pass	all pass
exp21_count_nonzero	2026-03-14T04:29:39Z	detect #&(expr)->count_nonzero, avoids intermediate index array	103.994	47	all pass	all pass
exp22_blas_matmul	2026-03-14T04:39:10Z	BLAS matmul for +/(constant*x) pattern: a@constant via BLAS gemv	103.024	47	all pass	all pass
exp23_neg_compile_cache	2026-03-14T04:54:15Z	negative cache for failed compiled expr attempts	103.268	47	all pass	all pass
exp24_each_pair_compile	2026-03-14T04:59:01Z	compile op:'var to var[:-1] op var[1:] in _expr_to_source	103.385	47	all pass	all pass
exp25_signal_benchmarks	2026-03-14T05:07:16Z	add sharpe/demean/vol signal benchmarks (200 assets); klong 28-37% faster than numpy for sharpe/vol	103.863	50	all pass	all pass
exp26_each_pair_axis	2026-03-14T05:15:30Z	compile each-pair (op:') in _compile_arg_fn with axis_fn for 2D batch; returns_50assets: 0.128->0.056ms	103.397	50	all pass	all pass
exp27_fast_stack_unstack	2026-03-14T05:24:51Z	concatenate+reshape for stacking, list(r) for unstacking; row_sums: 0.138->0.123ms, demean: 0.185->0.172ms	102.908	50	all pass	all pass
exp28_power_negate_compile	2026-03-14T05:35:33Z	add ^ to _KLONG_OP_TO_PY, - monad to _expr_to_source; fix vwap benchmark; vol: 0.145->0.137ms	103.350	50	all pass	all pass
exp29_dispatch_specialize	2026-03-14T05:39:31Z	specialize compiled expr dispatch for 1/2-var; add ^ to _KLONG_OP_TO_PY, - monad compile	103.078	50	all pass	all pass
exp30_max_min_dyad	a81b026	max/min dyad source compilation |/& to _expr_to_source	103.793	50	all pass	all pass
exp31_scan_cumsum	0a3adb1	vectorize {x+g(y)}\array to cumsum: scan_compound 0.937->0.035ms	103.197	50	all pass	all pass
exp32_fold_sum	498c2e2	vectorize {x+g(y)}/array to sum: over_custom 0.058->0.004ms	102.150	50	all pass	all pass
exp33_fromiter	c4fc1b6	np.fromiter for float scan results: ewma 0.868->0.685ms	102.560	50	all pass	all pass
exp34_batch_each2	4fcf1dc	dyadic axis fns for batch each-2: vwap_50assets 0.117->0.069ms	101.838	50	all pass	all pass
exp35_take_compile	b7e0e01	# dyad (take) in _expr_to_source: enables *\100000#a compilation	101.967	50	all pass	all pass
exp37_iterative_fib	927cd94	iterative O(n) closure for linear recurrences: fib_20 0.723->0.001ms, fib_25 7.999->0.001ms	93.475	50	all pass	all pass
exp38_int32_argsort	bc3ae83	int64->int32 downcast for argsort on large arrays: grade_up_1M 67.1->66.1ms	92.456	50	all pass	all pass
exp39_counting_sort	a4aa9a9	counting sort for bounded non-neg integers: sort_100K 2.42->0.77ms	90.503	50	all pass	all pass
exp40_parallel_argsort	8054ef9	parallel merge argsort for arrays>=500K: grade_up_1M 66.1->38.4ms	62.982	50	all pass	all pass
exp41_4way_argsort	2a91f53	4-way parallel argsort: grade_up_1M 38.4->26.9ms	51.596	50	all pass	all pass
exp42_lower_threshold	e6b1205	parallel argsort threshold 500K->10K: grade_up_100K 5.3->2.4ms, rank_100K 5.4->2.5ms	45.797	50	all pass	all pass
exp43_8way_argsort	1e21344	adaptive 8-way for >=250K, 4-way for >=10K: grade_up_1M 26.9->23.1ms	42.098	50	all pass	all pass
exp44_hierarchical_merge	cb2222e	hierarchical pair-wise merge: grade_up_1M 23.1->20.8ms	39.712	50	all pass	all pass
exp45_bucket_argsort	5761ea6	bucket argsort for integers: grade_up_1M 20.8->14.8ms, grade_up_100K 2.4->1.6ms	32.109	50	all pass	all pass
exp46_fused_bucket	caab922	fused flatnonzero+sort per bucket: grade_up_1M 14.8->9.8ms	26.329	50	all pass	all pass
exp47_16_workers_buckets	18ee157	16 workers + adaptive 16 buckets for >=250K: grade_up_1M 9.8->6.9ms	23.494	50	all pass	all pass
exp48_parallel_cumsum	769901e	parallel prefix cumsum: running_sum_1M 3.5->1.3ms	21.329	50	all pass	all pass
exp49_parallel_accum	9010dc7	parallel running max/min: 0.34->0.22ms, all drawdowns improved	20.881	50	all pass	all pass
exp50_parallel_flatnonzero	7f03d52	parallel flatnonzero: where 1.03->0.86ms, filter 1.4->1.25ms	20.539	50	all pass	all pass
exp51_parallel_cumprod	27370c7	parallel cumprod: cumul_product 0.35->0.23ms	20.278	50	all pass	all pass
exp52_fused_where	733764e	fused comparison+where: where_50pct 0.86->0.57ms, filter_index 1.25->0.96ms	19.756	50	all pass	all pass
exp53_uint16_radix	2bbf121	uint16 radix sort in bucket argsort: grade_up_1M 6.9->4.3ms, rank_100K 1.4->1.1ms	16.333	50	all pass	all pass
exp54_shift_buckets	bf1477a	power-of-2 bucket size with >>16 shift: grade_up_100K 0.91->0.50ms, rank_100K 1.06->0.64ms	15.437	50	all pass	all pass
exp55_prealloc_cumsum	4c2ea2d	pre-allocate output in parallel cumsum: running_sum_1M 1.31->1.07ms	15.200	50	all pass	all pass
exp56_prealloc_accum	a30fea2	pre-allocate output in running max/min/cumprod: running_max 0.22->0.20ms	15.098	50	all pass	all pass
exp57_uint8_buckets	5d71a25	uint8 bucket_ids (1MB vs 4MB) for faster flatnonzero scans	15.070	50	all pass	all pass
exp58_prefix_scan_lr	3c70ade	prefix scan for affine recurrences: ewma_10K 0.68->0.30ms	14.700	50	all pass	all pass
exp59_fused_filter	1f68e30	fused parallel filter a@&(a>val): filter_index_1M 0.97->0.69ms	14.388	50	all pass	all pass
exp60_inplace_offset	cd51cde	in-place add for flatnonzero chunk offsets: where 0.60->0.53ms	14.278	50	all pass	all pass
2d5556b	13.950	pass	keep	exp61: pre-compute uint16 sort keys in bucket argsort (grade_up_1M: 4.05->3.66ms)
de4b509	13.803	pass	keep	exp62: adaptive shift for bucket argsort (grade_up_100K: 0.48->0.45ms, rank_100K: 0.63->0.58ms)
7de94cf	13.616	pass	keep	exp63: argsort-based sort for large wide-range integers (sort_100K: 0.76->0.55ms)
5eb9d1d	13.513	pass	keep	exp64: parallel pre-computation for large int argsort (grade_up_1M: 3.66->3.55ms)
117e5ac	13.432	pass	keep	exp65: direct value bucket sort in _fast_sort (sort_100K: 0.56->0.44ms)
a6994a8	13.339	pass	keep	exp66: parallel fused count_nonzero for #&(a>val) (count_filter_1M: 0.38->0.24ms)
d9138e3	13.135	pass	keep	exp67: pre-allocated buffers in Hillis-Steele prefix scan (ewma_10K: 0.309->0.134ms)
48cd8ca	13.161	pass	keep	exp68: compile ? (unique) monad, eliminates last negative cache entry
7f1b6ac	13.154	pass	keep	exp70: fix parallel prefix accumulation bug in _cumprod, _running_max, _running_min
exp71	13.076	pass	keep	exp71: early termination in _prefix_scan_linear for |c_x|<1 (ewma_10K: 0.132->0.060ms, 2.2x faster)
exp72	12.960	pass	keep	exp72: parallel chunked eval for element-wise 2-var compiled expressions (vec_arith_chain_1M: 0.939->0.722ms, 22% faster)
exp73	12.998	pass	keep	exp73: adaptive chunk count for _fused_filter (6 chunks for n>=750K), move import math to module level
exp74	12.461	pass	keep	exp74: cffi JIT for fused element-wise eval - compile Python expressions to C via cffi (vec_arith_chain_1M: 0.971->0.328ms, 2.96x faster)
exp75	12.067	pass	keep	exp75: cffi running_max/min/count - fused C loops for sequential ops + count (running_max 1.63x, running_min 1.60x, count_filter 2.0x, risk benchmarks 1.5x)
exp76	11.696	pass	keep	exp76: cffi cumsum/cumprod - fused C loops (running_sum_1M: 1.034->0.949ms, cumul_product_100K: 0.247->0.132ms 1.87x)
exp77	11.250	pass	keep	exp77: hybrid cffi+parallel cumsum for 1M arrays (running_sum_1M: 0.949->0.505ms, 1.88x faster, 4-chunk parallel cffi + prefix propagation)
exp78	11.074	pass	keep	exp78: cffi counting argsort for int arrays n<=500K with range<=2n (grade_up_100K: 0.448->0.319ms 1.40x, rank_100K: 0.579->0.467ms 1.24x)
exp79	10.816	pass	keep	exp79: cffi counting sort values for int arrays n<=500K with range<=2n (sort_100K: 0.455->0.298ms 1.53x)
exp80	10.798	pass	keep	exp80: cffi inverse permutation in _rank (rank_100K: 0.467->0.395ms 1.18x)
exp81	10.629	pass	keep	exp81: cffi single-pass unique for int arrays (unique_100K: 0.194->0.059ms 3.29x)
